Date,Positive Total,Positive New,Probable Total,Probable New
6/1/2020,97291,326,3514,3514
6/2/2020,97539,248,3624,110
6/3/2020,97964,425,3628,4
6/4/2020,98376,412,3687,59
6/5/2020,98796,420,3761,74
6/6/2020,99301,505,3831,70
6/7/2020,99562,261,3874,43
